address,count
1 Peck Slip,2
1180 TINTON AVENUE,2
121 East 3rd Street,2
125 West 109th Street,2
1250 WARD AVENUE,2
1332 Fulton Avenue,2
137-25 Brookville Boulevard,2
140 58th Street,2
1827 ARCHER STREET,3
1871 Walton Avenue,2
19 East 103rd Street,2
20 West 112th Street,2
2166 Coney Island Avenue,2
2195 Valentine Avenue,2
2340 Andrews Avenue,2
243 South 2nd Street,2
2465 Bathgate Avenue,2
285 Clove Road,2
30-45 42nd Street,2
3001 West 37th Street,2
3044 Hull Avenue,2
333 East 4th Street,2
41 West 117th Street,2
4222 4th Avenue,2
433 East 100th Street,2
468 East 140th Street,2
500 West 138th Street,2
590 Sixth Avenue,2
60 East 94th Street,2
600 East 6th Street,2
610 East 12th Street,2
67-54 80th Street,2
677 East 141st Street,2
68-10 Central Avenue,2
76 Lorraine Street,3
774 Saratoga Avenue,2
80-55 Cornish Avenue,2
888 Rev J A Polite Avenue,2
