LocCode,Borough,District,LocName,phone,address,zip,income,Day_Length,SPCoordX,SPCoordY,PjAreaName,BORONUM,BIN,BBL,DCH_DC_ID,Seats,Contract,InitDate,TotalViol,Inspected,DOHPermit,POINT_X,POINT_Y,WebSite,Email,ORG_TAX_ID,PEPApproved,PKType,Meals,OutdoorIndoor,ExtendedDay,SEMS,Button_type,type,ADMIN_DIST
test,K,19,Urban Strategies 1,missing,1091 Sutter Avenue,11208,N,1,1018038,184088,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,14,Stagg Street Center for Children,missing,77 Stagg Street,11206,N,1,998816,197635,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,13,Helen Owen Carey CDC,missing,71 Lincoln Place,11217,N,1,990428,185912,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,13,BCS Duffield Children's Center,missing,101 Fleet Place,11201,N,1,989308,191609,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,16,BCS Atlantic Avenue Early Learning Center,missing,1825 Atlantic Avenue,11233,N,1,1004876,185991,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,14,Tompkins Children's Center,missing,730 Park Avenue,11206,N,1,999115,193560,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,17,Inner Force Tots,missing,1181 East New York Avenue,11212,N,1,1005473,182212,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,13,Salvation Army - Bedford,missing,110 Kosciusko St,11216,N,1,997960,190924,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,16,LSSNY: Marcus Garvey,missing,265 Marcus Garvey Boulevard,11221,N,1,1001125,190165,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,19,Friends of Crown Heights 19,missing,370 New Lots Avenue,11207,N,1,1013816,180362,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,19,Friends of Crown Heights Educational Center,missing,921 Hegeman Avenue,11208,N,1,1017897,181762,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,19,Friends of Crown Heights 16,missing,668 Logan Street,11208,N,1,1018958,183219,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,17,Friends of Crown Heights 10,missing,1491 Bedford Avenue,11216,N,1,996856,184131,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,17,Friends of Crown Heights Educational Center #11,missing,995 Carroll Street,11225,N,1,996087,182544,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,18,Hebrew Educational Society,missing,9502 Seaview Avenue,11236,N,1,1014443,169844,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,R,31,Children's Aid Society Richmond Early Learning Center,missing,159 Broadway,10310,N,1,951613,171568,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,13,"Tabernacle Church of God Day Care Center, Inc.",missing,34 Kosciuszko Street,11205,N,1,997096,190794,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,R,31,Staten island Mental Health Society Head Start,missing,166 Lockman Avenue,10303,N,1,939375,169972,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,17,Friends of Crown Heights 2,missing,671 Prospect Place,11216,N,1,996845,185089,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,17,Friends of Crown Heights 9,missing,813 Sterling Place,11216,N,1,997673,184331,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,16,Brightside Academy - Dekalb Ave,missing,844 Dekalb Avenue,11221,N,1,1000302,191552,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,16,Cornerstone Day Care Center,missing,289 Lewis Avenue,11221,N,1,1002104,189182,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,21,Shore Parkway Head Start,missing,8885 26th Avenue,11214,N,1,986745,154537,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,20,Brooklyn Chinese American Association,missing,6409 20 Avenue,11204,N,1,988316,164065,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
test,K,20,Yeshiva HeadStart 40th Street,missing,1402 40th Street,11218,N,1,988603,171903,missing,0,0,,,1,,12/1/2000,1,12/1/2000,12/1/2000,1,1,missing,email,,1,missing,1,1,1,,missing,NYCEEC,1
